"key","en","ru","kz","id","de","env","project"
"message_deleted_one","{{count}} message successfully deleted","{{count}} сообщение успешно удалено","{{count}} хат өшірілді","{{count}} pesan berhasil dihapus","{{count}} nachricht erfolgreich gelöscht","FE","Chat"
"message_deleted_few","{{count}} messages successfully deleted","{{count}} сообщения успешно удалены","{{count}} хат өшірілді","{{count}} pesan berhasil dihapus","{{count}} nachrichten erfolgreich gelöscht","FE","Chat"
"message_deleted_many","{{count}} messages successfully deleted","{{count}} сообщений успешно удалено","{{count}} хат өшірілді","{{count}} pesan berhasil dihapus","{{count}} nachrichten erfolgreich gelöscht","FE","Chat"
"message_deleted_plural","{{count}} messages successfully deleted","{{count}} сообщений успешно удалено","{{count}} хат өшірілді","{{count}} pesan berhasil dihapus","{{count}} nachrichten erfolgreich gelöscht","FE","Chat"
"user_created_channel","@{{username}} created #{{channel}}","@{{username}} создал(а) #{{channel}}","@{{username}} #{{channel}} арнасын ашты","@{{username}} membuat #{{channel}}","@{{username}} hat #{{channel}} erstellt","FE","Chat"
"added_users_to_channel","@{{username}} added {{users}} to the channel","@{{username}} добавил(а) {{users}} в канал","@{{username}} {{users}}-ны арнаға қосты","@{{username}} menambahkan {{users}} ke channel","@ {username}} hat {{users}} zum Kanal hinzugefügt","FE","Chat"
"user_removed_from_channel","@{{username}} was removed from channel","@{{username}} был удален(а) из канала","@{{username}} арнадан өшірілді","@{{username}} telah dihapus dari channel","@{{username}} wurde aus dem Kanal entfernt","FE","Chat"
"user_left_channel","@{{username}} has left the channel","@{{username}} покинул(а) канал","@{{username}} арнадан шығып кетті","@{{username}} telah meninggalkan channel","@{{username}} hat den Kanal verlassen","FE","Chat"
"user_renamed_channel","@{{username}} rename the channel from {{oldName}} to {{newName}}","@{{username}} переименовал(а) канал с {{oldName}} на {{newName}}","@{{username}} {{oldName}} арнасының атауын {{newName}} етіп өзгертті","@{{username}} mengganti nama channel dari {{oldName}} menjadi {{newName}}","@{{username}} hat den Kanal von {{oldName}} nach {{newName}} umbenannt","FE","Chat"
"edit_channel","Edit channel","Редактировать канал","Арнаны өзгерту","Edit channel","Kanal verlassen","FE","Chat"
"loading","Loading...","Загрузка...","Жүктеліп жатыр...","Loadting...","Laden...","FE","Chat"
"created","Created","Создано","Ашылды","Dibuat","Erstellt","FE","Chat"
"cancelled","Cancelled","Отменено","Бас тартты","Dibatalkan","Abgebrochen","FE","Chat"
"error_empty","Can not be empty","Не может быть пустым","Міндетті түрде толтыру керек","Tidak boleh kosong","Darf nicht leer sein","FE","Chat"
"error_min_length","Should contain at least {{minLength}} symbols","Должно содержать минимум {{minLength}} символов","Жоқ дегенде {{minLength}} символ жазу керек","Harus berisi setidaknya {{minLength}} simbol","Sollte mindestens {{minLength}} Symbole enthalten","FE","Chat"
"error_max_length","Should contain at most {{maxLength}} symbols","Должно содержать максимум {{maxLength}} символов","Максимум {{maxLength}} символ жазу керек","Harus berisi paling banyak {{maxLength}} simbol","Sollte höchstens {{maxLength}} Symbole enthalten","FE","Chat"
